code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
9,00249E+12;https://images.openfoodfacts.org/images/products/900/249/021/0991/front_en.6.400.jpg;Energy Drink;473 ml;473ml;Metal, Recyclable Metals, Aluminium, Aluminium-can;Red Bull,RedBull;['red-bull', 'redbull'];NULL;Beverages, Energy drinks;['en:beverages', 'en:energy-drinks'];;NULL;France,United Kingdom;['en:france', 'en:united-kingdom'];"water, sucrose, glucose, acid (citric 
acid), carbon dioxide, taurine (0,4%), acidity 
regulators (sodium carbonates, magnesium 
carbonates), caffeine (0,03%), vitamins (niacin, 
pantothenic acid, b6, b12), flavourings, colours 
(plain caramel, riboflavins),";NULL;NULL;100g;NULL;NULL;46;kcal;0;g;0;g;11;g;11;g;NULL;NULL;0;g;0.1;g;0.04;g;46;kcal;NULL;NULL;2;mg;2;µg;NULL;NULL;NULL;NULL;30;mg;0.4;g;['en:beverages', 'en:sweetened-beverages'];e
3,27872E+12;https://images.openfoodfacts.org/images/products/327/872/000/0991/front_fr.19.400.jpg;Boisson énergétique à base de malt;33 cl;33 cl;Verre, Bouteille;DYNAMALT;['dynamalt'];NULL;Boissons, Produits fermentés, Boissons gazeuses, Boissons fermentées, Boissons énergisantes, Boissons avec sucre ajouté, Boissons maltées;['en:beverages', 'en:fermented-foods', 'en:carbonated-drinks', 'en:fermented-drinks', 'en:energy-drinks', 'en:sweetened-beverages', 'fr:boissons-maltees'];Point Vert, Sans alcool, Triman;['en:green-dot', 'en:no-alcohol', 'fr:triman'];France, La Réunion;['en:france', 'en:reunion'];NULL;en:gluten;['en:gluten'];100g;NULL;NULL;60;kcal;0;g;0;g;15;g;12;g;NULL;NULL;0;g;0;g;0;g;60;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3,77001E+12;https://images.openfoodfacts.org/images/products/377/000/503/7000/front_fr.14.400.jpg;royal taurine;1L;NULL;Plastique, fr:Bouteille en plastique, fr:Bouchon en plastique;royal taurine;['royal-taurine'];NULL;en:energy-drink-with-sugar;['en:beverages', 'en:energy-drinks', 'en:energy-drink-with-sugar'];;NULL;France;['en:france'];NULL;NULL;NULL;100g;NULL;NULL;73.8;kcal;0;g;0;g;03.mai;g;03.mai;g;NULL;NULL;0;g;0.01;g;0.004;g;73.8;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;e
5,06017E+12;NULL;Monster Energy;500 ml;500 ml;en:Metal, en:Recyclable Metals, 41 ALU, en:Canned;Monster Energy;['monster-energy'];NULL;Beverages,Energy drinks;['en:beverages', 'en:energy-drinks'];;NULL;France;['en:france'];NULL;NULL;NULL;100g;201;kJ;47;kcal;0;g;0;g;12;g;11;g;NULL;NULL;0;g;0.19;g;0.076;g;201;kJ;NULL;NULL;0.8;mg;02.mai;µg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8,7119E+12;https://images.openfoodfacts.org/images/products/871/190/001/3992/front_fr.17.400.jpg;Regular Energy Drink taurine;250 ml;250ml;Métal, en:Recyclable Metals, Aluminium, Boîte de conserve ou canette, Canette;Rodeo;['rodeo'];NULL;Boissons, Boissons gazeuses, Boissons sans alcool, Boissons énergisantes, Boissons avec sucre ajouté, pl:energiedrank, pl:zawiera-kofeinę;['en:beverages', 'en:carbonated-drinks', 'en:non-alcoholic-beverages', 'en:energy-drinks', 'en:sweetened-beverages', 'pl:energiedrank', 'pl:zawiera-kofeinę'];;NULL;België,Frankrijk,Duitsland,Nederland,Verenigd Koninkrijk;['en:belgium', 'en:france', 'en:germany', 'en:netherlands', 'en:united-kingdom'];NULL;NULL;NULL;100g;NULL;NULL;45;kcal;0;g;0;g;10.iul;g;10.iul;g;NULL;NULL;0;g;0.16;g;0.064;g;45;kcal;NULL;NULL;0.56;mg;1;µg;NULL;NULL;NULL;NULL;32;mg;400;mg;['en:beverages', 'en:sweetened-beverages'];e
4,02513E+12;https://images.openfoodfacts.org/images/products/402/512/702/0799/front_de.19.400.jpg;Effect;500ml;NULL;Metall, Wiederverwertbare Metalle, Aluminium;Effect;['effect'];NULL;Getränke,Energy-Drinks;['en:beverages', 'en:energy-drinks', 'en:getranke'];;NULL;Germany;['en:germany'];NULL;NULL;NULL;100g;NULL;NULL;46;kcal;0;g;0;g;10.iul;g;10.iul;g;NULL;NULL;0;g;0.17;g;0.068;g;46;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;e
5,06034E+12;https://images.openfoodfacts.org/images/products/506/033/750/7363/front_fr.63.400.jpg;Monster punch mixxd;500ml;100ml;Büchse;Monster;['monster'];NULL;Boissons, Boissons énergisantes;['en:beverages', 'en:energy-drinks'];Fabriqué dans l'UE;['en:made-in-the-eu'];France, en:belgium;['en:belgium', 'en:france'];NULL;NULL;NULL;100g;NULL;NULL;39;kcal;20;g;0.1;g;09.ian;g;9;g;0;g;0;g;0;g;0;g;39;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5,06064E+12;https://images.openfoodfacts.org/images/products/506/063/912/1854/front_it.27.400.jpg;Mango loco lattina da;500ml;100;Lattina;Monster, Monster Energy;['monster', 'monster-energy'];NULL;en:energy-drink-with-sugar;['en:beverages', 'en:energy-drinks', 'en:energy-drink-with-sugar'];energy juiced;['en:energy-juiced'];en:Italy;['en:italy'];NULL;NULL;NULL;100g;211;kJ;48;kcal;0;g;0;g;12;g;11;g;NULL;NULL;0;g;NULL;NULL;NULL;NULL;211;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5,06034E+12;https://images.openfoodfacts.org/images/products/506/033/563/2685/front_it.23.400.jpg;Energy the doctor;500ml;NULL;Metallo, Metalli riciclabili, Alluminio, Lattina;monster;['monster'];NULL;Bevande, Bevande artificialmente zuccherate, Bevande energetiche, Bevande zuccherate;['en:beverages', 'en:artificially-sweetened-beverages', 'en:energy-drinks', 'en:sweetened-beverages'];;NULL;Italy;['en:italy'];;NULL;NULL;100g;186;kJ;44;kcal;0;g;0;g;11;g;10;g;NULL;NULL;0;g;0.02;g;0.008;g;186;kJ;NULL;NULL;0.0006;g;2.5e-06;g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
9,00249E+12;https://images.openfoodfacts.org/images/products/900/249/023/7011/front_fr.10.400.jpg;Redbull Energy Drink;250 ml;250g;Métal, en:Recyclable Metals, Aluminium, Boîte de conserve ou canette, Canette;Red Bull;['red-bull'];NULL;Boissons, Boissons sans alcool, Boissons énergisantes;['en:beverages', 'en:non-alcoholic-beverages', 'en:energy-drinks'];Pasteurise;['fr:pasteurise'];France;['en:france'];NULL;NULL;NULL;100g;NULL;NULL;94;kcal;2;g;2;g;23;g;11;g;NULL;NULL;70;g;1;g;0.4;g;94;kcal;NULL;NULL;2;mg;2;µg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
